Company,Event / Reason,Date,Theme,How,Who did the Action,# of People,Where,Source
Facebook,Protest against social media censorship is organized by conservatives following the election of Donald Trump.,2019-05-30,Ethics (Conservative),Protest,Concerned Citizens,NaN,"Menlo Park, California",https://www.thegatewaypundit.com/2019/05/mass-protest-against-facebook-censorship-planned-at-annual-shareholder-meeting/
Amazon,"A petition organized by the American Civil Liberties Union's Washington branch, collected over 150,000 signatures from citizens concerned with the companies choice to provide facial surveillance technology to governments and law enforcement agencies through the 'Rekognition' program.",2019-06-11,Ethics (Rekognition),Petition,Concerned Citizens,"150,000+",Internet,https://www.cnet.com/news/aclu-wants-amazon-to-stop-offering-surveillance-technology-rekognition/
Palantir Technologies,"Hundreds of protesters rallied outside Palantir technologies' headquarters in Palo Alto, concerned with the company's production of software which facilitates ICE raids.",2019-06-12,Ethics (ICE),Protest,Concerned Citizens,200+,Palo Alto,https://www.liberationnews.org/hundreds-join-united-action-in-palo-alto-calif-to-shut-down-palantir-technologies-for-complicity-with-ice/
Facebook,"Following Facebook's announcement of a massive data breach which led 30 million users to be left vulnerable, a class action lawsuit has been allowed to move forward by a judge.",2019-06-24,Class Action Lawsuit,Class-Action Lawsuit,Concerned Citizens,NaN,Internet,https://www.cyberscoop.com/facebook-class-action-lawsuit-moves-forward/
Facebook & Twitter,"""Decentralize and Boycott Social Media"" campaign gets over 6,000 signatures while others participate in a 24 hour boycott of the social media service between July 4-5th.",2019-07-04,Ethics,Petition (Online),Concerned Citizens,"6,390+",Internet,https://www.change.org/p/social-media-executives-decentralize-social-media-a-declaration-of-digital-independence?recruiter=978620935&utm_source=share_petition&utm_medium=copylink
Twitter,"In response to Twitter blocking the accounts of Julian Assange and Chelsea Manning, credited whistle-blowers, a small group of protestors organized outside of Twitter's headquarters in San Francisco",2019-07-08,Ethics,Protest,Concerned Citizens,24+,San Francisco,"https://twitter.com/fordfischer/status/1116497011208007680?lang=en, https://www.indybay.org/newsitems/2019/07/07/18824518.php"
Facebook,Several dozen workers and tech employees protested against unfair living wages at Facebook's headquarters.,2019-07-16,Labor / Wage,Protest,Workers,36+,"Menlo Park, California",https://www.sfchronicle.com/business/article/Facebook-cafeteria-workers-protest-pay-hours-in-14100891.php
Uber & Lyft,Protestors gathered outside of Uber's headquarters in San Francisco and demanded higher pay and the ability to unionize.,2019-07-19,Labor / Wage,Protest,Drivers,40,San Francisco,https://www.cnet.com/news/uber-lyft-drivers-stage-protest-for-better-working-conditions/
Google,"Google settles an age-discrimination class action lawsuit after paying out $11 million USD, without admitting liability. The case was brought by hundreds of people who believed to be discriminated against because of their age.",2019-07-29,Age Discrimination,Class-Action Lawsuit,Tech Employees,227,USA,https://www.business-humanrights.org/en/usa-google-settles-age-discrimination-class-action-lawsuit-for-11-million
Amazon,"Hundreds of demonstrators gathered in New York inside and outside an Amazon Books, protesting the company's involvement with ICE. 44 people were reported to have been arrested.",2019-08-11,Ethics (ICE),Protest,Concerned Citizens,200+,"Manhattan, New York",https://www.cbsnews.com/news/protesters-gather-at-amazon-in-manhattan-to-protest-companys-ice-involvement/
